name	type	units	sampling_frequency	reference	status	status_description
Fp1	EEG	V	250	Fz-Cz midpoint	good	n/a
Fp2	EEG	V	250	Fz-Cz midpoint	good	n/a
F3	EEG	V	250	Fz-Cz midpoint	good	n/a
F4	EEG	V	250	Fz-Cz midpoint	good	n/a
C3	EEG	V	250	Fz-Cz midpoint	good	n/a
C4	EEG	V	250	Fz-Cz midpoint	good	n/a
P3	EEG	V	250	Fz-Cz midpoint	good	n/a
P4	EEG	V	250	Fz-Cz midpoint	good	n/a
O1	EEG	V	250	Fz-Cz midpoint	good	n/a
O2	EEG	V	250	Fz-Cz midpoint	good	n/a
F7	EEG	V	250	Fz-Cz midpoint	good	n/a
F8	EEG	V	250	Fz-Cz midpoint	good	n/a
T3	EEG	V	250	Fz-Cz midpoint	good	n/a
T4	EEG	V	250	Fz-Cz midpoint	good	n/a
T5	EEG	V	250	Fz-Cz midpoint	good	n/a
T6	EEG	V	250	Fz-Cz midpoint	good	n/a
Fz	EEG	V	250	Fz-Cz midpoint	good	n/a
Cz	EEG	V	250	Fz-Cz midpoint	good	n/a
Pz	EEG	V	250	Fz-Cz midpoint	good	n/a
